Name,AtomicNumber,ElementName,Color,Radius,Mass,BondLengthSingle,BondLengthDouble,BondLengthTriple
H,1,Hydrogen,FFFFFF,37,1.01,32,0,0
He,2,Helium,D9FFFF,31,4,46,0,0
Li,3,Lithium,CC80FF,167,6.94,133,124,0
Be,4,Beryllium,C2FF00,112,9.01,102,90,85
B,5,Boron,FFB5B5,87,10.81,85,78,73
C,6,Carbon,909090,67,12.01,75,67,60
N,7,Nitrogen,3050F8,56,14.01,71,60,54
O,8,Oxygen,FF0D0D,77,16,63,57,53
F,9,Fluorine,90E050,42,19,64,59,53
Ne,10,Neon,B3E3F5,38,20.18,67,96,0
Na,11,Sodium,AB5CF2,190,22.99,155,160,0
Mg,12,Magnesium,8AFF00,145,24.31,139,132,127
Al,13,Aluminum,BFA6A6,118,26.98,126,113,111
Si,14,Silicon,F0C8A0,111,28.09,116,107,102
P,15,Phosphorus,FF8000,98,30.97,111,102,94
S,16,Sulfur,FFFF30,88,32.07,103,94,95
Cl,17,Chlorine,1FF01F,79,35.45,99,95,93
Ar,18,Argon,80D1E3,71,39.95,96,107,96
K,19,Potassium,8F40D4,243,39.1,196,193,0
Ca,20,Calcium,3DFF00,194,40.08,171,147,133
Sc,21,Scandium,E6E6E6,184,44.96,148,116,114
Ti,22,Titanium,BFC2C7,176,47.88,136,117,108
v,23,Vanadium,A6A6AB,171,50.94,134,112,106
Cr,24,Chromium,8A99C7,166,52,122,111,103
Mn,25,Manganase,9C7AC7,161,54.94,119,105,103
Fe,26,Iron,E06633,156,55.85,116,109,102
Co,27,Cobalt,F090A0,152,58.93,111,103,96
Ni,28,Nickel,50D050,149,58.69,110,101,101
Cu,29,Copper,C88033,145,63.55,112,115,120
Zn,30,Zinc,7D80B0,142,65.39,118,120,0
Ga,31,Gallium,C28F8F,136,69.72,124,117,121
Ge,32,Germanium,668F8F,125,72.59,121,111,114
As,33,Arsenic,BD80E3,114,74.92,121,114,106
Se,34,Selenium,FFA100,103,78.96,116,107,107
Br,35,Bromine,A62929,94,79.9,114,109,110
Kr,36,Krypton,5CB8D1,88,83.8,117,121,108
Rb,37,Rubidium,702EB0,265,85.47,210,202,0
Sr,38,Strontium,00FF00,219,87.62,185,157,139
Y,39,Yttrium,94FFFF,212,88.91,163,130,124
Zr,40,Zirconium,94E0E0,206,91.22,154,127,121
Nb,41,Niobium,73C2C9,198,92.91,147,125,116
Mo,42,Molybdenum,54B5B5,190,95.94,138,121,113
Tc,43,Technetium,3B9E9E,183,98,128,120,110
Ru,44,Ruthenium,248F8F,178,101.1,125,114,103
Rh,45,Rhodium,0A7D8C,173,102.9,125,110,106
Pd,46,Palladium,006985,169,106.4,120,117,112
Ag,47,Silver,C0C0C0,165,107.9,128,139,137
Cd,48,Cadmium,FFD98F,161,112.4,136,144,0
In,49,Indium,A67573,156,114.8,142,136,146
Sn,50,Tin,668080,145,118.7,140,130,132
Sb,51,Antimony,9E63B5,133,121.8,140,133,127
Te,52,Tellurium,D47A00,123,127.6,136,128,121
I,53,Iodine,940094,115,126.9,133,129,125
Xe,54,Xenon,429EB0,108,131.3,131,135,122
Cs,55,Cesium,57178F,298,132.9,232,209,0
Ba,56,Barium,00C900,253,137.3,196,161,149
La,57,Lanthanum,70D4FF,250,138.9,180,139,139
Ce,58,Cerium,FFFFC7,250,140.1,163,137,131
Pr,59,Praseodymium,D9FFC7,247,140.9,176,138,128
Nd,60,Neodymium,C7FFC7,206,144.2,174,137,0
Pm,61,Promethium,A3FFC7,205,147,173,135,0
Sm,62,Samarium,8FFFC7,238,150.4,172,134,0
Eu,63,Europium,61FFC7,231,152,168,134,0
Gd,64,Gadolinium,45FFC7,233,157.3,169,135,132
Tb,65,Terbium,30FFC7,225,158.9,168,135,0
Dy,66,Dysprosium,1FFFC7,228,162.5,167,133,0
Ho,67,Holmium,00FF9C,226,164.9,166,133,0
Er,68,Erbium,00E675,226,167.3,165,133,0
Tm,69,Thulium,00D452,222,168.9,164,131,0
Yb,70,Ytterbium,00BF38,222,173,170,129,0
Lu,71,Lutetium,00AB24,217,175,162,131,131
Hf,72,Hafnium,4DC2FF,208,178.5,152,128,122
Ta,73,Tantalum,4DA6FF,200,180.9,146,126,119
W,74,Tungsten,2194D6,193,183.9,137,120,115
Re,75,Rhenium,267DAB,188,186.2,131,119,110
Os,76,Osmium,266696,185,190.2,129,116,109
Ir,77,Iridium,175487,180,192.2,122,115,107
Pt,78,Platinum,D0D0E0,177,195.1,123,112,110
Au,79,Gold,FFD123,174,197,124,121,123
Hg,80,Mercury,B8B8D0,171,200.6,133,142,0
Tl,81,Thallium,A6544D,156,204.4,144,142,150
Pb,82,Lead,575961,154,207.2,144,135,137
Bi,83,Bismuth,9E4FB5,143,209,151,141,135
Po,84,Polonium,AB5C00,135,210,145,135,129
At,85,Astatine,754F45,127,210,147,138,138
Rn,86,Radon,428296,120,222,142,145,133
Fr,87,Francium,420066,120,223,223,218,0
Ra,88,Radium,007D00,120,226,201,173,159
Ac,89,Actinium,70ABFA,120,227,186,153,140
Th,90,Thorium,00BAFF,120,232,175,143,136
Pa,91,Protactinium,00A1FF,120,231,169,138,129
U,92,Uranium,008FFF,120,238,170,134,118
Np,93,Neptunium,0080FF,120,237,171,136,116
Pu,94,Plutonium,006BFF,120,242,172,135,0
Am,95,Americium,545CF2,120,243,166,135,0
Cm,96,Curium,785CE3,120,247,166,136,0
Bk,97,Berkelium,8A4FE3,120,247,168,139,0
Cf,98,Californium,A136D4,120,249,168,140,0
Es,99,Einsteinium,B31FD4,120,254,165,140,0
Fm,100,Fermium,B31FBA,120,254,167,0,0
Md,101,Mendelevium,B30DA6,120,256,173,139,0
No,102,Nobelium,BD0D87,120,254,176,159,0
Lr,103,Lawrencium,C70066,120,257,161,141,0
Rf,104,Rutherfordium,CC0059,120,257,157,140,131
Db,105,Dubnium,D1004F,120,260,149,136,126
Sg,106,Seaborgium,D90045,120,263,143,128,121
Bh,107,Bohrium,E00038,120,262,141,128,119
Hs,108,Hassium,E6002E,120,265,134,125,118
Mt,109,Meitnerium,EB0026,120,266,129,125,113
Ds,110,,,,,128,116,112
Rg,111,,,,,121,116,118
Cn,112,,,,,122,137,130
Uut,113,,,,,136,0,0
Uuq,114,,,,,143,0,0
Uup,115,,,,,162,0,0
Uuh,116,,,,,175,0,0
Uus,117,,,,,165,0,0
Uuo,118,,,,,157,0,0
